schema_version,campaign_id,stage_mode,attempt_id,global_seq,abs_b_deg,abs_c_deg,acquisition_try,pass_id,contact_id,pre_raw_count,pre_mux_count,pre_gated_count,post_raw_count,post_mux_count,post_gated_count,ready_raw_count,ready_mux_count,ready_gated_count,probe_result,travel_mm,raw_delta,mux_delta,gated_delta,repeat_raw_delta,repeat_mux_delta,repeat_gated_delta,extra_raw_minus_gated_delta,chatter_observed,quiet_episode_count,quiet_elapsed_s,quiet_reset_count,consistency_fault,release_fault,terminal_failure
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,2.000000,4.000000,1685.000000,1685.000000,641.000000,1686.000000,1686.000000,642.000000,1686.000000,1686.000000,642.000000,1.000000,3.953067,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,1.000000,1.000000,1686.000000,1686.000000,642.000000,1687.000000,1687.000000,643.000000,1687.000000,1687.000000,643.000000,1.000000,5.000204,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,1.000000,2.000000,1687.000000,1687.000000,643.000000,1688.000000,1688.000000,644.000000,1688.000000,1688.000000,644.000000,1.000000,3.865851,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,1.000000,3.000000,1688.000000,1688.000000,644.000000,1689.000000,1689.000000,645.000000,1689.000000,1689.000000,645.000000,1.000000,3.875600,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,1.000000,4.000000,1689.000000,1689.000000,645.000000,1690.000000,1690.000000,646.000000,1690.000000,1690.000000,646.000000,1.000000,3.993042,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,2.000000,1.000000,1690.000000,1690.000000,646.000000,1691.000000,1691.000000,647.000000,1691.000000,1691.000000,647.000000,1.000000,5.001898,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,2.000000,2.000000,1691.000000,1691.000000,647.000000,1692.000000,1692.000000,648.000000,1692.000000,1692.000000,648.000000,1.000000,3.998351,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,2.000000,3.000000,1692.000000,1692.000000,648.000000,1693.000000,1693.000000,649.000000,1693.000000,1693.000000,649.000000,1.000000,3.929767,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,27.000000,10.000000,180.000000,1.000000,2.000000,4.000000,1693.000000,1693.000000,649.000000,1694.000000,1694.000000,650.000000,1694.000000,1694.000000,650.000000,1.000000,3.930542,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,28.000000,10.000000,225.000000,1.000000,1.000000,1.000000,1694.000000,1694.000000,650.000000,1695.000000,1695.000000,651.000000,1695.000000,1695.000000,651.000000,1.000000,5.017731,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
