campaign_id,leg_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_corrected_diameter_mm,v_corrected_diameter_mm,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
2026082201.000000,1.000000,16.000000,1.000000,5.000000,5.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.067259,443.373486,-403.293396,-0.002095,-0.001558,30.275909,30.174162,128.606729,128.606729,128.606729,5.000000,5.000142,0.000000,-0.001740,-354.999858,0.001740,1026.061537,443.374178,-380.498164,-194.295087,-194.295087,0.000000,-341.204173,-341.204173,0.000000,171.797462,171.797462,0.000000
2026082201.000000,1.000000,16.000000,1.000000,6.000000,-5.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.032189,443.389066,-403.306095,-0.000173,-0.001828,30.155628,30.172165,128.606729,128.606729,128.606729,-5.000000,-4.999820,0.000000,0.000320,-364.999820,-0.000663,1022.037413,443.389632,-380.510787,-252.046208,-252.046208,0.000000,-341.148610,-341.148610,0.000000,171.898437,171.898437,0.000000
2026082201.000000,1.000000,16.000000,1.000000,7.000000,-5.000000,20.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.051193,443.389708,-403.305084,0.001520,-0.002032,30.116026,30.151876,128.606729,128.606729,128.606729,-5.000000,-4.999820,20.000000,20.003677,-365.000163,-20.004020,1022.176737,442.708984,-380.509919,-259.464830,-259.464830,0.000000,-352.401062,-352.401062,0.000000,171.903304,171.903304,0.000000
2026082201.000000,1.000000,16.000000,1.000000,8.000000,-5.000000,-20.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.003256,443.387210,-403.302595,0.004054,-0.001225,30.151027,30.173545,128.606729,128.606729,128.606729,-5.000000,-5.000163,-20.000000,-19.999947,-364.999820,19.999947,1022.127952,444.070404,-380.507462,-241.233781,-241.233782,0.000000,-333.118304,-333.118304,0.000000,171.898004,171.898004,0.000000
2026082201.000000,1.000000,16.000000,1.000000,9.000000,-5.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.033010,443.375584,-403.302188,0.000333,-0.001260,30.146990,30.166756,128.606729,128.606729,128.606729,-5.000000,-5.000163,0.000000,0.001693,-364.999820,-0.001693,1022.039002,443.375867,-380.506862,-252.044619,-252.044619,0.000000,-341.162375,-341.162375,0.000000,171.902362,171.902362,0.000000
2026082201.000000,1.000000,16.000000,1.000000,10.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.031576,443.373242,-403.296689,-0.001542,-0.001254,30.211107,30.168795,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,0.001350,-360.000010,-0.001007,1024.032244,443.373869,-380.414346,-223.184911,-223.184911,0.000000,-341.183731,-341.183731,0.000000,173.109453,173.109453,0.000000
2026082201.000000,1.000000,17.000000,1.000000,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.027604,443.368054,-403.292851,0.003475,-0.000002,30.211847,30.169693,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1024.025804,443.368051,-380.410509,-223.191351,-223.191351,0.000000,-341.189549,-341.189549,0.000000,173.113291,173.113291,0.000000
2026082201.000000,1.000000,17.000000,1.000000,2.000000,0.000000,90.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.014765,443.422143,-403.278185,-0.000789,0.001667,30.194667,30.131334,128.606729,128.606729,128.606729,0.000000,-0.000010,90.000000,89.999977,-360.000010,-90.000320,1024.015598,443.422515,-380.395843,-250.546440,-250.546439,0.000000,-367.213343,-367.213343,0.000000,173.127957,173.127957,0.000000
2026082201.000000,1.000000,17.000000,1.000000,3.000000,0.000000,180.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1023.984268,443.424877,-403.254347,-0.002032,-0.001254,30.211514,30.177182,128.606729,128.606729,128.606729,0.000000,-0.000010,180.000000,179.999633,-360.000010,-179.999633,1023.983354,443.424254,-380.372006,-224.500426,-224.500426,0.000000,-394.556486,-394.556486,0.000000,173.151794,173.151794,0.000000
2026082201.000000,1.000000,17.000000,1.000000,4.000000,0.000000,270.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.029136,443.365758,-403.265514,0.000141,-0.003719,30.189728,30.277144,128.606729,128.606729,128.606729,0.000000,-0.000010,270.000000,269.997230,-360.000010,-269.996887,1024.030992,443.365211,-380.383172,-197.107906,-197.107906,0.000000,-368.537271,-368.537271,0.000000,173.140628,173.140628,0.000000
