abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
-10.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.530037,317.970227,-858.890739,-0.021038,0.004167,36.018865,35.928934,30.287931,30.198000
-10.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.520866,317.973352,-858.890023,0.002711,0.002083,36.018031,35.928100,30.287097,30.197166
-10.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.525758,317.936690,-858.852717,-0.058955,-0.010417,35.926365,35.886434,30.195431,30.155500
-10.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.530341,317.909259,-858.855220,0.004468,0.001250,35.921185,35.888101,30.190251,30.157167
-10.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.558799,317.927226,-858.835074,-0.051815,-0.035617,36.039698,35.943733,30.308764,30.212799
-10.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.585233,317.944898,-858.837423,-0.001444,-0.001150,36.037063,35.942267,30.306129,30.211333
-10.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.576253,317.948322,-858.872960,-0.018865,-0.018592,35.949158,35.931982,30.218224,30.201048
-10.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.567775,317.958927,-858.874914,-0.001241,0.002901,35.950531,35.933935,30.219597,30.203001
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.542359,317.956010,-858.905914,-0.050833,-0.005833,35.887268,35.925601,30.156334,30.194667
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.519233,317.952885,-858.906081,0.004583,-0.000417,35.889768,35.924767,30.158834,30.193833
30.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.547872,317.916427,-858.893343,0.035942,-0.072917,35.919317,35.923100,30.188383,30.192166
30.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.566829,317.880802,-858.896181,0.002192,0.001667,35.921817,35.923935,30.190883,30.193001
30.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.531204,317.919133,-858.917906,0.087192,0.071250,35.955150,35.886435,30.224216,30.155501
30.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.495371,317.956655,-858.938204,-0.004058,0.000416,35.952650,35.889768,30.221716,30.158834
30.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.492982,317.890889,-858.911407,-0.019267,0.131068,35.923898,35.942174,30.192964,30.211240
30.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.499736,317.821020,-858.905427,0.004188,-0.001068,35.924970,35.942174,30.194036,30.211240
30.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.486336,317.954581,-858.890588,-0.241995,-0.026338,35.868995,35.934028,30.138061,30.203094
30.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.471823,318.058970,-858.829665,-0.002234,-0.001760,35.869832,35.940038,30.138898,30.209104
-30.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.479330,318.010220,-858.853791,-0.010199,-0.097500,35.902470,35.930601,30.171536,30.199667
-30.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.477383,317.964177,-858.854513,0.002718,0.005416,35.901637,35.929767,30.170703,30.198833
-30.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.493963,317.975310,-858.774640,0.099801,-0.035000,35.865803,35.902267,30.134869,30.171333
-30.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.511880,318.022926,-858.749633,0.006141,-0.000833,35.876816,35.885601,30.145882,30.154667
-30.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.554814,317.994485,-858.763544,-0.086359,0.052285,35.937650,35.929020,30.206716,30.198086
-30.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.595754,317.970549,-858.782176,-0.007470,-0.008089,35.941816,35.933102,30.210882,30.202168
-30.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.565567,317.975279,-858.828786,-0.053602,-0.060833,35.938164,35.931751,30.207230,30.200817
-30.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.540631,317.997773,-858.841440,-0.000317,0.007285,35.943345,35.948848,30.212411,30.217914
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.525422,317.977148,-858.907440,-0.030417,-0.041250,35.886434,35.929767,30.155500,30.198833
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.513339,317.953398,-858.906773,0.006250,-0.006250,35.901434,35.916434,30.170500,30.185500
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.511255,317.955482,-858.909440,0.002083,-0.002083,35.888101,35.933101,30.157167,30.202167
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.513547,317.954232,-858.912107,0.002500,-0.000417,35.888935,35.928101,30.158001,30.197167
0.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.537293,317.916155,-858.896440,-0.075833,-0.047500,35.960601,35.900601,30.229667,30.169667
0.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.558335,317.876988,-858.893273,-0.002500,0.005417,35.953934,35.889768,30.223000,30.158834
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.585218,317.891369,-858.877607,-0.054327,-0.028757,35.875921,35.929763,30.144987,30.198829
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.609761,317.907839,-858.878606,0.005160,-0.004158,35.877908,35.938934,30.146974,30.208000
0.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.593107,317.945988,-858.888773,-0.075337,-0.033333,35.947234,35.935575,30.216300,30.204641
0.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.576029,317.985483,-858.888106,-0.003333,-0.000816,35.944320,35.935601,30.213386,30.204667
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.544570,317.969441,-858.910773,-0.062917,-0.032083,35.886434,35.929767,30.155500,30.198833
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.517070,317.954649,-858.910106,0.007917,0.002500,35.874768,35.933934,30.143834,30.203000
