abs_b_deg,abs_c_deg,pass_num,accepted,b_ssi_abs_position_deg,b_ssi_zeroed_position_deg,c_ssi_abs_position_deg,c_ssi_zeroed_position_deg,b_ssi_rawcounts,c_ssi_rawcounts,b_following_error_udeg,c_following_error_udeg,b_axis_fb_udeg,c_axis_fb_udeg
5.000000,20.000000,1.000000,0.000000,-177.928391,4.986809,160.872116,-19.998184,-518254.000000,-468574.000000,-204.406738,-2329.711914,4999795.593262,19997670.288086
5.000000,20.000000,2.000000,1.000000,-177.928734,4.986466,160.872803,-19.997497,-518255.000000,-468576.000000,-204.406738,-3016.357422,4999795.593262,19996983.642578
5.000000,-20.000000,1.000000,0.000000,-177.928734,4.986466,200.879860,20.009560,-518255.000000,-585105.000000,-204.406738,-73.547363,4999795.593262,-20000073.547363
5.000000,-20.000000,2.000000,1.000000,-177.928391,4.986809,200.879860,20.009560,-518254.000000,-585105.000000,-204.406738,-73.547363,4999795.593262,-20000073.547363
-5.000000,20.000000,1.000000,0.000000,-187.950668,-5.035468,160.869026,-20.001274,-547446.000000,-468565.000000,204.406738,416.870117,-4999795.593262,20000416.870117
-5.000000,20.000000,2.000000,1.000000,-187.950668,-5.035468,160.872116,-19.998184,-547446.000000,-468574.000000,-138.916016,-2329.711914,-5000138.916016,19997670.288086
-5.000000,-20.000000,1.000000,0.000000,-187.950325,-5.035125,200.879860,20.009560,-547445.000000,-585105.000000,-138.916016,-73.547363,-5000138.916016,-20000073.547363
-5.000000,-20.000000,2.000000,1.000000,-187.950668,-5.035468,200.879860,20.009560,-547446.000000,-585105.000000,-138.916016,-73.547363,-5000138.916016,-20000073.547363
0.000000,0.000000,1.000000,0.000000,-182.928543,-0.013343,180.871353,0.001053,-532818.000000,-526826.000000,-13.671875,-1566.772461,-13.671875,-1566.772461
0.000000,0.000000,2.000000,1.000000,-182.928543,-0.013343,180.872040,0.001740,-532818.000000,-526828.000000,-13.671875,-2253.417969,-13.671875,-2253.417969
