abs_b_deg,abs_c_deg,pass_num,accepted,current_abs_x_mm,current_abs_y_mm,current_abs_z_mm,x_motor_pos_cmd_mm,x_motor_pos_fb_mm,x_motor_ferror_mm,y_motor_pos_cmd_mm,y_motor_pos_fb_mm,y_motor_ferror_mm,z_motor_pos_cmd_mm,z_motor_pos_fb_mm,z_motor_ferror_mm
30.000000,180.000000,2.000000,1.000000,457.439568,323.562124,-839.116427,-155.367192,-155.367191,0.000000,-71.432648,-71.432648,0.000000,-163.119538,-163.119538,0.000000
30.000000,270.000000,1.000000,0.000000,468.869487,312.159467,-839.174162,43.860425,43.860424,0.000000,-181.520492,-181.520492,0.000000,-163.177273,-163.177273,0.000000
30.000000,270.000000,2.000000,1.000000,468.785825,312.396503,-839.027099,43.848430,43.848428,-0.000002,-181.283456,-181.283456,0.000000,-163.030210,-163.030210,0.000000
-30.000000,0.000000,1.000000,0.000000,457.382197,323.829685,-839.080993,-154.135350,-154.135350,0.000000,18.024197,18.024197,0.000000,-162.415393,-162.415393,0.000000
-30.000000,0.000000,2.000000,1.000000,457.310074,323.668851,-839.115495,-154.207473,-154.207473,0.000000,18.026697,18.026697,0.000000,-162.449895,-162.449895,0.000000
-30.000000,90.000000,1.000000,0.000000,468.742009,312.191706,-839.038547,-45.436337,-45.436335,0.000002,-180.199041,-180.199041,0.000000,-162.372948,-162.372948,0.000000
-30.000000,90.000000,2.000000,1.000000,468.826592,312.259483,-839.002863,-45.436753,-45.436752,0.000001,-180.131264,-180.131264,0.000000,-162.337263,-162.337263,0.000000
-30.000000,180.000000,1.000000,0.000000,480.258994,323.691000,-839.007897,152.751740,152.751740,0.000000,-71.420545,-71.420545,0.000000,-162.342298,-162.342298,0.000000
-30.000000,180.000000,2.000000,1.000000,480.340039,323.707667,-839.053318,152.832785,152.832785,0.000000,-71.424712,-71.424712,0.000000,-162.387719,-162.387719,0.000000
-30.000000,270.000000,1.000000,0.000000,468.907112,335.116687,-839.092364,43.998157,43.998156,0.000000,126.736234,126.736234,0.000000,-162.426765,-162.426765,0.000000
-30.000000,270.000000,2.000000,1.000000,468.801536,335.144433,-839.103257,44.006748,44.006747,-0.000001,126.763979,126.763979,0.000000,-162.437658,-162.437658,0.000000
0.000000,0.000000,1.000000,0.000000,468.801931,323.712053,-836.093546,0.023728,0.023727,0.000000,17.960640,17.960640,0.000000,-121.539412,-121.539412,0.000000
0.000000,0.000000,2.000000,1.000000,468.754431,323.667053,-836.093713,-0.023773,-0.023773,0.000000,17.955640,17.955640,0.000000,-121.539579,-121.539579,0.000000
50.000000,0.000000,1.000000,0.000000,486.344849,323.666220,-844.198694,235.879875,235.879875,0.000000,17.714799,17.714799,0.000000,-232.069350,-232.069350,0.000000
50.000000,0.000000,2.000000,1.000000,486.345204,323.520387,-844.189844,235.880230,235.880230,0.000000,17.711465,17.711465,0.000000,-232.060500,-232.060500,0.000000
50.000000,90.000000,1.000000,0.000000,468.828424,341.018849,-844.206802,-45.378988,-45.378987,0.000000,209.680674,209.680674,0.000000,-232.077458,-232.077458,0.000000
50.000000,90.000000,2.000000,1.000000,468.721757,341.071521,-844.259012,-45.373988,-45.373986,0.000001,209.733347,209.733347,0.000000,-232.129669,-232.129669,0.000000
50.000000,180.000000,1.000000,0.000000,451.201923,323.554390,-844.251553,-237.357903,-237.357903,0.000000,-71.446222,-71.446222,0.000000,-232.122209,-232.122209,0.000000
50.000000,180.000000,2.000000,1.000000,451.206572,323.513140,-844.231554,-237.353254,-237.353254,0.000000,-71.450806,-71.450806,0.000000,-232.102210,-232.102210,0.000000
50.000000,270.000000,1.000000,0.000000,468.717464,306.178430,-844.387780,43.674243,43.674242,0.000000,-263.254596,-263.254596,0.000000,-232.258436,-232.258436,0.000000
50.000000,270.000000,2.000000,1.000000,468.645841,306.456641,-844.053627,43.677619,43.677618,0.000000,-262.976385,-262.976385,0.000000,-231.924283,-231.924283,0.000000
-50.000000,0.000000,1.000000,0.000000,451.171679,323.970342,-844.090528,-236.397498,-236.397498,0.000000,18.028309,18.028309,0.000000,-230.936661,-230.936661,0.000000
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.094781,-0.001580,-0.001580,0.000000,17.947830,17.947830,0.000000,-121.540647,-121.540647,0.000000
0.000000,0.000000,2.000000,1.000000,468.768707,323.657159,-836.097448,-0.009497,-0.009497,0.000000,17.950746,17.950746,0.000000,-121.543314,-121.543314,0.000000
50.000000,0.000000,1.000000,0.000000,486.353380,323.658201,-844.207251,235.888406,235.888406,0.000000,17.715946,17.715946,0.000000,-232.077907,-232.077907,0.000000
50.000000,0.000000,2.000000,1.000000,486.353838,323.526951,-844.197227,235.888863,235.888863,0.000000,17.718030,17.718030,0.000000,-232.067883,-232.067883,0.000000
50.000000,90.000000,1.000000,0.000000,468.837777,341.023334,-844.212470,-45.378802,-45.378802,0.000000,209.685160,209.685160,0.000000,-232.083126,-232.083126,0.000000
50.000000,90.000000,2.000000,1.000000,468.721110,341.068545,-844.264857,-45.377969,-45.377968,0.000000,209.730371,209.730371,0.000000,-232.135513,-232.135513,0.000000
50.000000,180.000000,1.000000,0.000000,451.191403,323.552542,-844.254269,-237.368422,-237.368422,0.000000,-71.455570,-71.455570,0.000000,-232.124925,-232.124925,0.000000
50.000000,180.000000,2.000000,1.000000,451.202618,323.504625,-844.230341,-237.357208,-237.357208,0.000000,-71.452653,-71.452653,0.000000,-232.100997,-232.100997,0.000000
50.000000,270.000000,1.000000,0.000000,468.712897,306.171869,-844.389248,43.674675,43.674673,-0.000002,-263.261156,-263.261156,0.000000,-232.259904,-232.259904,0.000000
50.000000,270.000000,2.000000,1.000000,468.643730,306.436207,-844.066247,43.676342,43.676341,0.000000,-262.996819,-262.996819,0.000000,-231.936903,-231.936903,0.000000
-50.000000,0.000000,1.000000,0.000000,451.163250,323.952333,-844.097242,-236.405926,-236.405926,0.000000,18.033633,18.033633,0.000000,-230.943375,-230.943375,0.000000
-50.000000,0.000000,2.000000,1.000000,451.149982,323.643167,-844.118042,-236.419195,-236.419194,0.000000,18.032800,18.032800,0.000000,-230.964175,-230.964175,0.000000
-50.000000,90.000000,1.000000,0.000000,468.668928,306.185432,-844.166156,-45.549539,-45.549538,0.000000,-262.256945,-262.256945,0.000000,-231.012289,-231.012289,0.000000
-50.000000,90.000000,2.000000,1.000000,468.750178,306.384698,-843.921999,-45.556622,-45.556621,0.000001,-262.057678,-262.057678,0.000000,-230.768131,-230.768131,0.000000
-50.000000,180.000000,1.000000,0.000000,486.293837,323.900165,-843.896706,234.838214,234.838213,0.000000,-71.410668,-71.410668,0.000000,-230.742839,-230.742839,0.000000
-50.000000,180.000000,2.000000,1.000000,486.394732,323.749749,-844.008977,234.939109,234.939108,0.000000,-71.414418,-71.414418,0.000000,-230.855110,-230.855110,0.000000
-50.000000,270.000000,1.000000,0.000000,468.880101,341.136751,-844.117599,43.980434,43.980433,0.000000,208.807928,208.807928,0.000000,-230.963732,-230.963732,0.000000
-50.000000,270.000000,2.000000,1.000000,468.741130,341.127745,-844.092789,43.970630,43.970628,-0.000002,208.798921,208.798921,0.000000,-230.938922,-230.938922,0.000000
0.000000,0.000000,1.000000,0.000000,468.736963,323.611550,-836.090686,-0.041241,-0.041241,0.000000,17.940970,17.940970,0.000000,-121.536552,-121.536552,0.000000
0.000000,0.000000,2.000000,1.000000,468.766546,323.653216,-836.092520,-0.011658,-0.011658,0.000000,17.940137,17.940137,0.000000,-121.538386,-121.538386,0.000000
